LEAID,SchoolYearPurchased,total_students
4834170,2016-2017,10926
4834170,2017-2018,10737
4834170,2018-2019,10623
4834170,2019-2020,10674
4834260,2015-2016,1138
4834440,2018-2019,64818
4834440,2019-2020,21760
4835070,2019-2020,26235
4835190,2019-2020,7144
4835310,2016-2017,1330
4835310,2017-2018,1414
4835310,2018-2019,1550
4835310,2019-2020,1579
4835740,2015-2016,1120
4835740,2016-2017,1128
4835740,2017-2018,1150
4835740,2018-2019,1146
4835740,2019-2020,2268
4835800,2016-2017,8064
4835800,2018-2019,3564
4835850,2015-2016,3876
4836000,2015-2016,8296
4836000,2016-2017,9998
4836000,2017-2018,24266
4836000,2018-2019,28696
4836000,2019-2020,16857
4836240,2015-2016,2573
4836240,2016-2017,2627
4836240,2017-2018,2630
4836240,2018-2019,2694
4836240,2019-2020,7935
4836450,2018-2019,1468
4836540,2015-2016,6441
4836540,2016-2017,2067
4836750,2015-2016,1133
4836750,2016-2017,1117
4836750,2017-2018,1106
4836750,2018-2019,1130
4836750,2019-2020,1113
4837380,2019-2020,272
4837650,2018-2019,16587
4837650,2019-2020,34014
4838080,2015-2016,47827
4838080,2016-2017,48321
4838080,2017-2018,49086
4838080,2018-2019,50387
4838080,2019-2020,50953
4838220,2017-2018,5739
4838360,2019-2020,2036
4838580,2017-2018,3726
4838580,2018-2019,1949
4838580,2019-2020,2087
4838790,2017-2018,10468
4838970,2018-2019,8097
4838970,2019-2020,8224
4839270,2016-2017,4774
4839270,2018-2019,13806
4839270,2019-2020,9056
4839480,2019-2020,15972
4839690,2019-2020,7226
4839990,2018-2019,9401
4840020,2015-2016,1921
4840020,2016-2017,2012
4840020,2017-2018,2017
4840020,2018-2019,2041
4840020,2019-2020,2008
4840080,2015-2016,14382
4840590,2019-2020,441
4840620,2018-2019,513
4840620,2019-2020,486
4840800,2018-2019,808
4840800,2019-2020,779
4841070,2015-2016,7560
4841070,2016-2017,7772
4841070,2017-2018,8032
4841070,2018-2019,8216
4841070,2019-2020,4177
4841100,2015-2016,70602
4841100,2016-2017,35079
4841100,2017-2018,35022
4841100,2018-2019,34681
4841190,2018-2019,2019
4841220,2017-2018,72268
4841220,2018-2019,70770
4841220,2019-2020,35336
4841350,2018-2019,3589
4842210,2018-2019,1810
4842280,2015-2016,3182
4842280,2016-2017,6406
4842280,2017-2018,3198
4842280,2018-2019,9573
4842330,2015-2016,25908
4842330,2016-2017,8643
4842330,2017-2018,8631
4842330,2018-2019,8752
4842330,2019-2020,8720
4842510,2015-2016,6397
4842960,2019-2020,18294
4843230,2015-2016,1098
4843470,2018-2019,18130
4843720,2019-2020,8530
4843950,2018-2019,1045
4843950,2019-2020,1079
4844010,2019-2020,2182
4844040,2017-2018,269
4844110,2019-2020,1952
4844160,2018-2019,4548
4844410,2015-2016,1105
4844410,2016-2017,1115
4844410,2017-2018,1135
4844410,2018-2019,1179
4844410,2019-2020,1233
4844800,2018-2019,8081
4844800,2019-2020,8105
4845040,2018-2019,1359
4845040,2019-2020,2680
4845380,2017-2018,2097
4845380,2018-2019,2015
4845480,2015-2016,6060
4845480,2016-2017,6012
4845630,2015-2016,1578
4845900,2015-2016,21339
4845900,2016-2017,29244
4845900,2017-2018,21837
4845900,2019-2020,23595
4846200,2016-2017,1494
4846200,2017-2018,1522
4846230,2017-2018,3222
4846230,2018-2019,1098
4846230,2019-2020,1119
4846440,2018-2019,1285
4846440,2019-2020,1326
4846590,2016-2017,380
4846620,2015-2016,4878
4846620,2016-2017,1611
4846650,2015-2016,518
4846650,2016-2017,515
4846650,2018-2019,546
